T,D,P,E
"寄","(よ)寄せる:붙여대다 / (よ)寄る:다가가다","き",""
"険","(けわ)険しい:험하다","けん",""
"因","(よ)因る:기인하다","いん",""
"基","(もと)基:근본 / (もとい)基:기초","き",""
"富","(とみ)富:부 / (と)富む:부유하다","ふ·ふう",""
"防","(ふせ)防ぐ:막다","ぼう",""
"際","(きわ)際:가장자리","さい",""
"増","(ふ)増える:늘다 / (ふ)増やす:늘리다 / (ま)増す:늘다","ぞう",""
"境","(さかい)境:경계","きょう·けい",""
"墓","(はか)墓:무덤","ぼ",""
"均","균(형)","きん",""
"限","(かぎ)限る:한정하다","げん",""
"団","단(체)","だん·とん",""
"舎","(관)사","しゃ",""
