T,D,P,E
"預","(あず)預かる:맡다 / (あず)預ける:맡기다","よ",""
"則","(규)칙","そく",""
"精","정(제)","せい·しょう",""
"券","(채)권","けん",""
"情","(なさ)情け:정","じょう·せい",""
"額","(ひたい)額:이마","がく",""
"現","(あらわ)現す:나타내다 / (あらわ)現れる:나타나다","げん",""
"状","상(태)","じょう",""
"判","판(단)","はん·ばん",""
"妻","(つま)妻:아내","さい",""
"領","영(역)","りょう",""
"婦","(부)부","ふ",""
"版","(출)판","はん",""
"迷","(まよ)迷う:헤매다","めい",""
"断","(ことわ)断る:거절하다 / (た)断つ:끊다","だん",""
"制","(절)제","せい",""
"規","규(칙)","き",""
"眼","(まなこ)眼:눈","がん·げん",""
"製","제(작)","せい",""
"刊","(월)간","かん",""
