T,D,P,E
起,일어나다/일으키다,き/おきる·おこす·おこる,走
売,팔(리)다,ばい/うる·うれる,士
時,시(기)/~때,じ/とき,日
金,돈,きん·こん/かな·かね,金
亡,없다,ぼう·もう/ない,亠
州,주(행정구역),しゅう/す,川
来,오다,らい/くる·きたす·きたる,木
下,내리다/아래,か·げ/おりる·おろす·くださる·くだす·くだる·さがる·さげる·した·しも·もと,一
決,정해지다/정하다,けつ/きまる·きめる,氵
示,가리키다,じ·し/しめす,示
合,합치다/더하다,かっ·がっ·ごう/あう·あわす·あわせる,口
男,남(성),だん·なん/おとこ,田
込,복잡하다,/こむ·こめる,辶
持,가지다,じ/もつ,扌
進,나아가(게 시키)다,しん/すすむ·すすめる,辶
引,인(력)/끌다,いん/ひく·ひける,弓
円,둥글다,えん/まるい,冂
強,강해지(게하)다,きょう·ごう/つよい·つよまる·つよめる·しいる,弓
明,밝다,みょう·めい/あかす·あからむ·あかり·あかるい·あかるむ·あきらか·あく·あくる·あける,日
初,(최)초/처음,しょ/はじめ·はじめて·はつ·そめる·うい,刀
