T,D,P
成果,성과,せいか/,
確認,확인,かくにん/,
構造,구조,こうぞう/,
理解,이해,りかい/,
思考,사고,しこう/,
改善,개선,かいぜん/,
動詞,행동,どうし/,
意識,의식,いしき/,



