



T,D,P,E
析,,せき/,
指,,し/さす·ゆび,
曖,,あい/,
誤,,ご/あやまる,
夫,,ふ·ふう/おっと,
担,,たん/かつぐ·になう,
当,,とう/あたる·あてる,
有,,ゆう·う/ある,
図,,ず·と/はかる,
件,,けん/,
条,,じょう/,
失,,しつ/うしなう,
素,,そ·す/,
経,,けい·きょう/へる,
昧,,まい/,
続,,ぞく/つづく·つづける,
起,,き/おきる·おこす·おこる,
置,,ち/おく,
減,,げん/へらす·へる,
混,,こん/こむ·まざる·まじる·まぜる,
役,,やく·えき/,
宙,,ちゅう/,
取,,しゅ/とる,
興,,きょう·こう/おこす·おこる,
設,,せつ/もうける,
原,,げん/はら,
悩,,のう/なやます·なやむ,
疑,,ぎ/うたがう,
索,,さく/,
活,,かつ/,
渡,,と/わたす·わたる,
圧,,あつ/,
反,,はん·たん·ほん/そらす·そる,
朝,,ちょう/あさ,
欲,,よく/ほしい·ほっする,
高,,こう/たか·たかい·たかまる·たかめる,
証,,しょう/,
差,,さ/さす,
早,,そう·さっ/はやい·はやまる·はやめる,
簡,,かん/,
声,,せい·しょう/こえ·こわ,
慣,,かん/ならす·なれる,
録,,ろく/,
速,,そく/はやい·はやまる·はやめる·すみやか,
示,,じ·し/しめす,
試,,し/こころみる·ためす,
運,,うん/はこぶ,
計,,けい/はからう·はかる,
型,,けい/かた,
乱,,らん/みだす·みだれる,
率,,りつ·そつ/ひきいる,
供,,きょう·く/そなえる·とも,
初,,しょ/はじめ·はじめて·はつ·そめる·うい,
象,,しょう·ぞう/,
宇,,う/,
丈,,じょう/たけ,
係,,けい/かかり·かかる,
純,,じゅん/,
述,,じゅつ/のべる,
似,,じ/にる,
非,,ひ/,
制,,せい/,
替,,たい/かえる·かわる,
進,,しん/すすむ·すすめる,
迷,,めい/まよう,
瞬,,しゅん/またたく,
項,,こう/,
復,,ふく/,
利,,り/きく,
期,,き·ご/,
努,,ど/つとめる,
落,,らく/おちる·おとす,
従,,じゅう·じゅ·しょう/したがう·したがえる,
種,,しゅ/たね,
筋,,きん/すじ,
比,,ひ/くらべる,
引,,いん/ひく·ひける,
共,,きょう/とも,
受,,じゅ/うかる·うける,
他,,た/ほか,
縮,,しゅく/ちぢまる·ちぢむ·ちぢめる·ちぢらす·ちぢれる,
践,,せん/,
注,,ちゅう/そそぐ,
教,,きょう/おしえる·おそわる,
台,,たい·だい/,
彙,,い/,
翌,,よく/,
小,,しょう/お·こ·ちいさい,
移,,い/うつす·うつる,
姿,,し/すがた,
択,,たく/,
張,,ちょう/はる,
交,,こう/まざる·まじえる·まじる·まじわる·まぜる·かう·かわす,
検,,けん/,
景,,けい/,
和,,わ·お/なごむ·なごやか·やわらぐ·やわらげる,
読,,とう·とく·どく/よむ,
込,,/こむ·こめる,
代,,たい·だい/かえる·かわる·よ·しろ,
較,,かく/,
音,,おん·いん/おと·ね,
下,,か·げ/おりる·おろす·くださる·くだす·くだる·さがる·さげる·した·しも·もと,
名,,みょう·めい/な,
数,,すう·す/かず·かぞえる,
来,,らい/くる·きたす·きたる,
予,,よ/,
勢,,せい/いきおい,
釈,,しゃく/,
買,,ばい/かう,
摘,,てき/つむ,
常,,じょう/つね·とこ,
背,,はい/せ·せい·そむく·そむける,
残,,ざん/のこす·のこる,
埋,,まい/うまる·うめる·うもれる,
写,,しゃ/うつす·うつる,
支,,し/ささえる,
承,,しょう/うけたまわる,
浮,,ふ/うかぶ·うかべる·うかれる·うく,
物,,ぶつ·もつ/もの,
傾,,けい/かたむく·かたむける,
了,,りょう/,
地,,じ·ち/,
固,,こ/かたい·かたまる·かためる,
測,,そく/はかる,
限,,げん/かぎる,
丁,,ちょう·てい/,
工,,く·こう/,
為,,い/,
母,,ぼ/はは,
握,,あく/にぎる,
脈,,みゃく/,
旨,,し/むね,
得,,とく/える·うる,
申,,しん/もうす,
描,,びょう/えがく·かく,
戦,,せん/たたかう·いくさ,
良,,りょう/よい,
急,,きゅう/いそぐ,
志,,し/こころざし·こころざす,
焦,,しょう/こがす·こがれる·こげる·あせる,
標,,ひょう/,
紙,,し/かみ,
保,,ほ/たもつ,
囲,,い/かこう·かこむ,
禁,,きん/,
柔,,じゅう·にゅう/やわらか·やわらかい,
句,,く/,
肢,,し/,
核,,かく/,
範,,はん/,
黙,,もく/だまる,
湧,,ゆう/わく,
般,,はん/,
頼,,らい/たのむ·たのもしい·たよる,
伺,,し/うかがう,
想,,そう·そ/,
報,,ほう/むくいる,
超,,ちょう/こえる·こす,
責,,せき/せめる,
嬉,,き/あそぶ·うれしい·たのしむ,
食,,しょく·じき/くう·たべる·くらう,
材,,ざい/,
座,,ざ/すわる,
程,,てい/ほど,
序,,じょ/,
絶,,ぜつ/たえる·たつ·たやす,
誠,,せい/まこと,
